SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon Apr 07 14:44:45 EDT 2025
User: Claudine
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2E3842
Integration Time (usec): 100000 (USB2E3842)
Spectra Averaged: 1 (USB2E3842)
Boxcar Smoothing: 0 (USB2E3842)
Correct for Electrical Dark: No (USB2E3842)
Strobe/Lamp Enabled: No (USB2E3842)
Correct for Detector Non-linearity: No (USB2E3842)
Correct for Stray Light: No (USB2E3842)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
340.23	0.00
340.61	170.00
340.98	173.00
341.36	177.00
341.73	175.00
342.10	173.00
342.48	174.00
342.85	185.00
343.23	178.00
343.60	178.00
343.97	183.00
344.35	180.00
344.72	186.00
345.10	183.00
345.47	180.00
345.84	181.00
346.22	179.00
346.59	181.00
346.97	182.00
347.34	180.00
347.71	180.00
348.09	177.00
348.46	184.00
348.83	175.00
349.21	181.00
349.58	179.00
349.95	185.00
350.33	177.00
350.70	182.00
351.07	185.00
351.45	187.00
351.82	179.00
352.19	189.00
352.57	185.00
352.94	179.00
353.31	184.00
353.68	177.00
354.06	181.00
354.43	183.00
354.80	191.00
355.18	186.00
355.55	186.00
355.92	186.00
356.29	185.00
356.67	185.00
357.04	183.00
357.41	182.00
357.78	180.00
358.16	187.00
358.53	183.00
358.90	181.00
359.27	187.00
359.64	189.00
360.02	182.00
360.39	179.00
360.76	181.00
361.13	182.00
361.51	183.00
361.88	184.00
362.25	183.00
362.62	183.00
362.99	182.00
363.36	182.00
363.74	183.00
364.11	186.00
364.48	187.00
364.85	186.00
365.22	178.00
365.59	176.00
365.97	187.00
366.34	189.00
366.71	182.00
367.08	180.00
367.45	180.00
367.82	185.00
368.19	185.00
368.56	184.00
368.94	185.00
369.31	182.00
369.68	185.00
370.05	182.00
370.42	185.00
370.79	185.00
371.16	186.00
371.53	179.00
371.90	185.00
372.27	186.00
372.64	181.00
373.01	187.00
373.39	187.00
373.76	187.00
374.13	181.00
374.50	185.00
374.87	189.00
375.24	185.00
375.61	190.00
375.98	186.00
376.35	182.00
376.72	179.00
377.09	187.00
377.46	190.00
377.83	183.00
378.20	180.00
378.57	184.00
378.94	185.00
379.31	191.00
379.68	188.00
380.05	191.00
380.42	182.00
380.79	183.00
381.16	190.00
381.53	183.00
381.90	186.00
382.27	190.00
382.64	186.00
383.01	181.00
383.38	184.00
383.74	184.00
384.11	181.00
384.48	179.00
384.85	184.00
385.22	189.00
385.59	184.00
385.96	182.00
386.33	185.00
386.70	186.00
387.07	186.00
387.44	185.00
387.81	186.00
388.17	185.00
388.54	183.00
388.91	184.00
389.28	182.00
389.65	189.00
390.02	186.00
390.39	186.00
390.76	186.00
391.12	183.00
391.49	182.00
391.86	192.00
392.23	185.00
392.60	188.00
392.97	187.00
393.33	188.00
393.70	183.00
394.07	187.00
394.44	188.00
394.81	188.00
395.18	186.00
395.54	185.00
395.91	189.00
396.28	181.00
396.65	188.00
397.01	189.00
397.38	183.00
397.75	196.00
398.12	185.00
398.49	186.00
398.85	187.00
399.22	191.00
399.59	184.00
399.96	191.00
400.32	189.00
400.69	187.00
401.06	188.00
401.43	189.00
401.79	191.00
402.16	186.00
402.53	192.00
402.90	191.00
403.26	188.00
403.63	192.00
404.00	195.00
404.36	192.00
404.73	194.00
405.10	194.00
405.46	192.00
405.83	196.00
406.20	190.00
406.56	197.00
406.93	197.00
407.30	195.00
407.67	198.00
408.03	193.00
408.40	199.00
408.76	199.00
409.13	198.00
409.50	194.00
409.86	203.00
410.23	201.00
410.60	208.00
410.96	209.00
411.33	200.00
411.70	206.00
412.06	201.00
412.43	210.00
412.79	205.00
413.16	228.00
413.53	213.00
413.89	215.00
414.26	221.00
414.62	224.00
414.99	228.00
415.36	224.00
415.72	222.00
416.09	230.00
416.45	236.00
416.82	240.00
417.18	238.00
417.55	248.00
417.91	251.00
418.28	250.00
418.65	250.00
419.01	251.00
419.38	263.00
419.74	275.00
420.11	269.00
420.47	282.00
420.84	290.00
421.20	290.00
421.57	295.00
421.93	312.00
422.30	308.00
422.66	334.00
423.03	339.00
423.39	342.00
423.76	362.00
